epoch,EG_L1_loss,G_tv_loss,G_img_loss,Ez_loss,D_loss,Dz_loss,D_img,D_z,D_z_prior,D_reconst
47,"tensor(0.0738, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(10.7569, device='cuda:0')","tensor(1.0829, device='cuda:0')","tensor(0.0167, device='cuda:0')","tensor(1.1612, device='cuda:0')","tensor(0.9922, device='cuda:0')","tensor(0.3657, device='cuda:0')","tensor(0.5129, device='cuda:0')","tensor(0.0085, device='cuda:0')"
48,"tensor(0.0660, device='cuda:0')","tensor(0.0052, device='cuda:0')","tensor(4.5341, device='cuda:0')","tensor(0.9275, device='cuda:0')","tensor(0.1227, device='cuda:0')","tensor(1.3927, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0.4432, device='cuda:0')","tensor(0.4981, device='cuda:0')","tensor(0.0964, device='cuda:0')"
49,"tensor(0.0655, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(9.7749, device='cuda:0')","tensor(0.9551, device='cuda:0')","tensor(0.0142, device='cuda:0')","tensor(1.1109, device='cuda:0')","tensor(0.9867, device='cuda:0')","tensor(0.4004, device='cuda:0')","tensor(0.5791, device='cuda:0')","tensor(0.0002, device='cuda:0')"
50,"tensor(0.0616, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(9.7141, device='cuda:0')","tensor(0.9575, device='cuda:0')","tensor(0.1859, device='cuda:0')","tensor(1.0736, device='cuda:0')","tensor(0.9449, device='cuda:0')","tensor(0.4138, device='cuda:0')","tensor(0.6157, device='cuda:0')","tensor(0.0749, device='cuda:0')"
51,"tensor(0.0663, device='cuda:0')","tensor(0.0044, device='cuda:0')","tensor(13.0501, device='cuda:0')","tensor(0.7937, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(1.4575, device='cuda:0')","tensor(0.9986, device='cuda:0')","tensor(0.4826, device='cuda:0')","tensor(0.4852, device='cuda:0')","tensor(0.0019, device='cuda:0')"
52,"tensor(0.0691, device='cuda:0')","tensor(0.0046, device='cuda:0')","tensor(12.5642, device='cuda:0')","tensor(0.8157, device='cuda:0')","tensor(0.0035, device='cuda:0')","tensor(1.3996, device='cuda:0')","tensor(0.9965, device='cuda:0')","tensor(0.4864, device='cuda:0')","tensor(0.5384, device='cuda:0')","tensor(0.0000, device='cuda:0')"
53,"tensor(0.0601, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(10.2498, device='cuda:0')","tensor(1.0085, device='cuda:0')","tensor(0.0422, device='cuda:0')","tensor(1.0718, device='cuda:0')","tensor(0.9824, device='cuda:0')","tensor(0.3937, device='cuda:0')","tensor(0.5965, device='cuda:0')","tensor(0.0230, device='cuda:0')"
54,"tensor(0.0611, device='cuda:0')","tensor(0.0038, device='cuda:0')","tensor(10.0312, device='cuda:0')","tensor(0.7652, device='cuda:0')","tensor(0.0425, device='cuda:0')","tensor(1.3223, device='cuda:0')","tensor(0.9949, device='cuda:0')","tensor(0.5004, device='cuda:0')","tensor(0.5847, device='cuda:0')","tensor(0.0323, device='cuda:0')"
55,"tensor(0.0618, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(7.1894, device='cuda:0')","tensor(0.9223, device='cuda:0')","tensor(0.0419, device='cuda:0')","tensor(1.3375, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4332, device='cuda:0')","tensor(0.5126, device='cuda:0')","tensor(0.0362, device='cuda:0')"
56,"tensor(0.0658, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(5.8310, device='cuda:0')","tensor(0.9668, device='cuda:0')","tensor(0.1769, device='cuda:0')","tensor(1.1870, device='cuda:0')","tensor(0.9998, device='cuda:0')","tensor(0.4180, device='cuda:0')","tensor(0.5645, device='cuda:0')","tensor(0.1288, device='cuda:0')"
57,"tensor(0.0590, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(8.8736, device='cuda:0')","tensor(0.8085, device='cuda:0')","tensor(0.0231, device='cuda:0')","tensor(1.2592, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.4634, device='cuda:0')","tensor(0.5597, device='cuda:0')","tensor(0.0132, device='cuda:0')"
58,"tensor(0.0666, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(9.8790, device='cuda:0')","tensor(0.8760, device='cuda:0')","tensor(0.0078, device='cuda:0')","tensor(1.1943, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.4293, device='cuda:0')","tensor(0.5822, device='cuda:0')","tensor(0.0045, device='cuda:0')"
59,"tensor(0.0609, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(7.8394, device='cuda:0')","tensor(0.8391, device='cuda:0')","tensor(0.2227, device='cuda:0')","tensor(1.3060, device='cuda:0')","tensor(0.9015, device='cuda:0')","tensor(0.4560, device='cuda:0')","tensor(0.5371, device='cuda:0')","tensor(0.0268, device='cuda:0')"
60,"tensor(0.0607, device='cuda:0')","tensor(0.0062, device='cuda:0')","tensor(9.2930, device='cuda:0')","tensor(1.1732, device='cuda:0')","tensor(0.0125, device='cuda:0')","tensor(1.3967, device='cuda:0')","tensor(0.9913, device='cuda:0')","tensor(0.3600, device='cuda:0')","tensor(0.4498, device='cuda:0')","tensor(0.0036, device='cuda:0')"
61,"tensor(0.0643, device='cuda:0')","tensor(0.0056, device='cuda:0')","tensor(8.1757, device='cuda:0')","tensor(0.8473, device='cuda:0')","tensor(0.0071, device='cuda:0')","tensor(1.1452, device='cuda:0')","tensor(0.9998, device='cuda:0')","tensor(0.4615, device='cuda:0')","tensor(0.6327, device='cuda:0')","tensor(0.0067, device='cuda:0')"
62,"tensor(0.0653, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(4.6908, device='cuda:0')","tensor(0.7386, device='cuda:0')","tensor(0.0328, device='cuda:0')","tensor(1.3916, device='cuda:0')","tensor(0.9945, device='cuda:0')","tensor(0.4961, device='cuda:0')","tensor(0.5285, device='cuda:0')","tensor(0.0259, device='cuda:0')"
63,"tensor(0.0629, device='cuda:0')","tensor(0.0050, device='cuda:0')","tensor(6.6767, device='cuda:0')","tensor(0.9449, device='cuda:0')","tensor(0.0071, device='cuda:0')","tensor(1.1534, device='cuda:0')","tensor(0.9955, device='cuda:0')","tensor(0.4074, device='cuda:0')","tensor(0.5541, device='cuda:0')","tensor(0.0026, device='cuda:0')"
64,"tensor(0.0575, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(9.9903, device='cuda:0')","tensor(0.8312, device='cuda:0')","tensor(0.0530, device='cuda:0')","tensor(1.2541, device='cuda:0')","tensor(0.9517, device='cuda:0')","tensor(0.4594, device='cuda:0')","tensor(0.6090, device='cuda:0')","tensor(0.0013, device='cuda:0')"
65,"tensor(0.0585, device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(12.3891, device='cuda:0')","tensor(0.8797, device='cuda:0')","tensor(0.0756, device='cuda:0')","tensor(1.3597, device='cuda:0')","tensor(0.9420, device='cuda:0')","tensor(0.4760, device='cuda:0')","tensor(0.5631, device='cuda:0')","tensor(0.0002, device='cuda:0')"
66,"tensor(0.0614, device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(11.0130, device='cuda:0')","tensor(0.8244, device='cuda:0')","tensor(0.0032, device='cuda:0')","tensor(1.1466, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.4518, device='cuda:0')","tensor(0.6093, device='cuda:0')","tensor(0.0002, device='cuda:0')"
67,"tensor(0.0559, device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(14.8437, device='cuda:0')","tensor(0.8397, device='cuda:0')","tensor(0.0420, device='cuda:0')","tensor(1.2993, device='cuda:0')","tensor(0.9630, device='cuda:0')","tensor(0.4525, device='cuda:0')","tensor(0.5183, device='cuda:0')","tensor(0.0001, device='cuda:0')"
68,"tensor(0.0563, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(14.2790, device='cuda:0')","tensor(0.8460, device='cuda:0')","tensor(1.5508, device='cuda:0')","tensor(1.2003, device='cuda:0')","tensor(0.8650, device='cuda:0')","tensor(0.4626, device='cuda:0')","tensor(0.6054, device='cuda:0')","tensor(0.0098, device='cuda:0')"
69,"tensor(0.0579, device='cuda:0')","tensor(0.0046, device='cuda:0')","tensor(12.5720, device='cuda:0')","tensor(0.9835, device='cuda:0')","tensor(0.1207, device='cuda:0')","tensor(1.2510, device='cuda:0')","tensor(0.9177, device='cuda:0')","tensor(0.4356, device='cuda:0')","tensor(0.5598, device='cuda:0')","tensor(0.0005, device='cuda:0')"
70,"tensor(0.0529, device='cuda:0')","tensor(0.0046, device='cuda:0')","tensor(11.7292, device='cuda:0')","tensor(0.5945, device='cuda:0')","tensor(0.1752, device='cuda:0')","tensor(1.5757, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(0.5679, device='cuda:0')","tensor(0.5464, device='cuda:0')","tensor(0.0001, device='cuda:0')"
71,"tensor(0.0626, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(8.4185, device='cuda:0')","tensor(0.8021, device='cuda:0')","tensor(0.0136, device='cuda:0')","tensor(1.5790, device='cuda:0')","tensor(0.9963, device='cuda:0')","tensor(0.4695, device='cuda:0')","tensor(0.4737, device='cuda:0')","tensor(0.0097, device='cuda:0')"
